sample_time,field_season,manual_level_cm,well_height_cm
2019-09-19T17:00:00Z,2019,131.1,114.9
2014-09-16T14:00:00Z,2014,113.1,114.9
2015-08-03T16:00:00Z,2015,153.3,114.9
2017-08-29T17:30:00Z,2017,107.5,114.9
2018-08-22T17:15:00Z,2018,154.15,114.9
2012-08-16T14:00:00Z,2012,149.5,114.9
2013-08-14T14:00:00Z,2013,115.9,114.9
2014-08-13T14:00:00Z,2014,147.2,114.9
2018-08-01T17:45:00Z,2018,140.85,114.9
2013-07-17T14:00:00Z,2013,117.7,114.9
2018-07-13T15:45:00Z,2018,128.7,114.9
2012-07-12T14:00:00Z,2012,132,114.9
2014-07-10T14:00:00Z,2014,110.8,114.9
2014-06-04T14:00:00Z,2014,106.2,114.9
2015-06-26T17:00:00Z,2015,106.6,114.9
2019-06-19T17:45:00Z,2019,114.5,114.9
2013-06-19T14:00:00Z,2013,110.2,114.9
2012-06-13T14:00:00Z,2012,115,114.9
2014-06-11T14:00:00Z,2014,109.3,114.9
2012-05-23T14:00:00Z,2012,105.2,114.9
2018-05-21T18:00:00Z,2018,106.8,114.9
2019-08-12T18:45:00Z,2019,156.9,114.9
