serial_number,location,clock_error_s,cable_length_cm,water_height_cm
1066019,air,3,,4.6
1065861,air,3,,4.6
2059683,water,1,32.8,4.6
2013939,water,19,32.8,4.6
2064737,water,7,33.6,4.6
2064745,water,1,32.7,4.6
1062452,water,2,33.1,4.6
1033239,water,3,33.2,4.6
2030899,water,1,33.3,4.6
1062534,water,3,33.2,4.6
1062520,water,3,33.2,4.6
2025928,water,17,32.6,4.6
2064734,water,2,33,4.6
2100561,water,9,32.9,4.6
1062528,water,3,33.1,4.6
2069158,water,3,32.8,4.6
1066016,water,3,32.9,4.6
2064738,water,0,33.2,4.6
2064739,water,1,32.7,4.6
2104452,water,10,33.2,4.6
